"RK","PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"52","Davis Mills",HOU,"11.6","15.2","26.5","57%","152.5","0.8","0.2","2.2","10.0","0.2","1.3"
"53","Jalen Milroe",SEA,"-0.4","0.0","0.0","NaN%","0.0","0.0","0.0","0.8","1.0","0.0","0.0"
"54","Jimmy Garoppolo",LAR,"-0.2","0.0","0.0","NaN%","0.0","0.0","0.0","1.8","-2.0","0.0","0.0"
"55","Joe Milton III",DAL,"3.1","3.8","6.0","63%","45.8","0.3","0.5","1.3","12.5","0.0","0.0"
"56","Trey Lance",LAC,"3.6","6.8","14.3","47%","56.5","0.0","0.3","4.3","21.3","0.0","1.5"
"57","Bailey Zappe",NYJ,"0","0","0","0","0","0","0","0","0","0","0"
"58","Zach Wilson",NO,"0.3","1.5","2.8","55%","8.0","0.0","0.0","0.8","0.3","0.0","0.0"
"59","Kyle Allen",BUF,"-0.1","0.0","0.5","0%","0.0","0.0","0.0","0.8","-0.8","0.0","0.0"
"60","Cooper Rush",FA,"1.4","8.5","13.0","65%","75.8","0.0","1.0","1.0","-1.0","0.0","0.3"
"61","Sam Howell",DAL,"0","0","0","0","0","0","0","0","0","0","0"
"62","Tyson Bagent",CHI,"0.9","1.0","1.3","75%","15.7","0.0","0.0","0.7","2.3","0.0","0.0"
"63","Jeff Driskel",WAS,"0","0","0","0","0","0","0","0","0","0","0"
